CP ID,total_sessions,total_uptime_hours,error_sessions,uptime_percent,avg_rating
50230,16,3789.9166666666665,4,93.39639302920652,4.5
50234,2,21.849999999999998,0,0.5384580631117207,1.0
50236,5,143.06666666666666,0,3.525647607742952,1.0
50238,8,113.26666666666667,1,2.79127459718326,1.0
50240,21,372.0833333333333,1,9.169394552989447,1.0
50263,20,4057.8833333333337,2,100.0,4.5
50264,15,1661.3999999999999,0,40.94252750818365,2.0
50265,6,145.34999999999988,2,3.5819166806997047,1.0
50266,6,326.3833333333333,0,8.043191647533812,1.0
50267,13,1092.4,2,26.920438816624433,1.0
50268,16,-604.1000000000001,2,-14.887071667084237,1.0
50269,22,3217.633333333333,3,79.29339187507443,4.0
50270,18,3266.1166666666663,2,80.48818554829487,4.0
50271,12,1041.6333333333337,4,25.669376070447242,1.0
50272,4,47.2,0,1.1631679898797813,1.0
50273,1,15.916666666666666,0,0.3922406180562115,1.0
50315,15,714.0166666666667,2,17.59579090905357,1.0
50316,8,75.31666666666666,0,1.8560579612523769,1.0
50338,31,12.333333333333334,6,0.3039351385985304,1.0
50339,134,52.85,46,1.3024031412107295,1.0
50349,98,703.0500000000001,11,17.325535069597038,1.0
50373,29,315.33333333333337,1,7.770882192275941,1.0
50522,20,859.3833333333333,7,21.178118312913544,1.0
50523,16,1601.6333333333332,3,39.469674255461584,2.0
50630,8,147.28333333333333,0,3.6295605672908287,1.0
50675,14,-554.0500000000002,2,-13.65367001679858,1.0
50676,22,133.61666666666667,2,3.2927675758708355,1.0
50692,185,-1275.0833333333333,22,-31.42237537632509,1.0
50840,5,-1302.1166666666666,1,-32.08856834228025,1.0
50841,30,-369.5833333333335,2,-9.107786078949209,1.0
50842,10,-402.8333333333333,1,-9.927178783684433,1.0
50908,22,183.70000000000002,6,4.52699067247703,1.0
50909,20,219.86666666666667,0,5.418259930259207,1.0
50910,13,120.71666666666667,0,2.9748678498231835,1.0
50911,182,70.28333333333333,63,1.732019566851355,1.0
51085,17,-1024.4166666666667,2,-25.245099045890097,1.0
51086,17,1684.5666666666666,0,41.51343270095657,2.0
51087,29,795.0000000000001,2,19.591494744797167,1.0
51088,49,97.53333333333333,8,2.40355193389,1.0
51198,20,3912.9666666666667,1,96.42876212146726,4.5
51199,14,-333.3833333333333,2,-8.215695374846492,1.0
51200,12,-398.61666666666673,1,-9.823265824136557,1.0
51201,12,211.08333333333331,3,5.20180882479782,1.0
51202,5,173.56666666666666,0,4.277270991033913,1.0
51203,2,41.36666666666667,0,1.0194148837858816,1.0
51356,16,143.94999999999996,1,3.547415935237171,1.0
