,Town,Population,All Private Dwellings,Median Weekly Household Income,Average Motor Vehicles per Dwelling,Number of Charging Stations,Estimated Total Vehicles,PCZ_Score
202,mickleham - yuroke,35371,7711.0,1982.0,2.1,3.0,16193.1,0.7253407536669338
255,port melbourne,16884,8981.0,2347.0,1.3,4.0,11675.300000000001,0.689084612227028
339,werribee (west),30552,8439.0,1995.0,1.9,3.0,16034.099999999999,0.6778883923790828
40,brunswick (south),15190,7121.0,2126.0,1.1,4.0,7833.1,0.6278519881866469
39,brunswick (north),14595,6528.0,2062.0,1.2,4.0,7833.599999999999,0.6215289408009663
309,tarneit (central),29462,8349.0,2164.0,2.0,2.0,16698.0,0.6037810018874682
109,east melbourne,5222,3458.0,2345.0,1.2,4.0,4149.599999999999,0.598659462725343
35,brighton east,17261,6447.0,2720.0,1.9,2.0,12249.3,0.5950765838159465
256,port melbourne industrial,2611,1089.0,2407.0,1.2,4.0,1306.8,0.5897084513551254
236,north melbourne,19221,9297.0,1718.0,0.9,4.0,8367.300000000001,0.57841990684249
192,melbourne airport,130,32.0,1437.0,2.9,4.0,92.8,0.5542603400885014
338,werribee (south),17937,6876.0,1802.0,1.8,3.0,12376.800000000001,0.5514509814324058
195,melbourne cbd (west),21528,13401.0,1446.0,0.4,4.0,5360.400000000001,0.5145718856982466
342,west melbourne (residential),9301,4782.0,1784.0,0.8,4.0,3825.6000000000004,0.5107301569546834
86,cranbourne south,24578,5947.0,2228.0,2.3,1.0,13678.099999999999,0.5021480531616014
