,Town,Number of Charging Stations
0, Mooroopna ,1
1,Abbotsford,1
2,Airport West,1
3,Albury,1
4,Alexandra,1
5,Altona,2
6,Altona North,1
7,Ararat,3
8,Armadale,1
9,Armstrong Creek,2
10,Ascot Vale,1
11,Avenel,1
12,Avoca,1
13,Bairnsdale,5
14,Ballarat,3
15,Bannockburn,1
16,Baranduda,1
17,Barnawartha North,1
18,Beaufort,1
19,Benalla,1
20,Bendigo,2
21,Berwick,1
22,Black Rock,1
23,Box Hill South,1
24,Bright,1
25,Brighton,1
26,Brighton East,2
27,Broadford,1
28,Brunswick,4
29,Brunswick East,1
30,Bundoora,1
31,Camberwell,1
32,Campbellfield,1
33,Camperdown,1
34,Cape Paterson,1
35,Carlton,2
36,Caroline Springs,1
37,Carrum Downs,1
38,Castlemaine,1
39,Chadstone,2
40,Chelsea,1
41,Cheltenham,2
42,Chirnside Park,1
43,City of Casey,1
44,Clyde North,1
45,Cobblebank,1
46,Coburg,1
47,Coburg North,1
48,Cohuna,1
49,Colac,1
50,Coldstream,1
51,Corio,1
52,Cowes,1
53,Cranbourne,1
54,Cranbourne West,1
55,Creswick,1
56,Croydon,1
57,Curlewis,1
58,Dandenong,1
59,Dandenong North,1
60,Dartmoor,1
61,Daylesford,1
62,Deer Park,1
63,Deniliquin,1
64,Derrimut,1
65,Diamond Creek,1
66,Dimboola,1
67,Dunkeld,1
68,East Bendigo,1
69,Echuca,1
70,Edenhope ,1
71,Eltham,1
72,Epping,1
73,Euroa,2
74,Fawkner,1
75,Fishermans Bend,1
76,Flinders,1
77,Forest Hill,1
78,Foster,1
79,Frankston,1
80,Geelong,1
81,Geelong West,1
82,Glen Waverley ,1
83,Glenrowan,2
84,Greensborough,1
85,Grovedale,2
86,Hamilton,1
87,Hamilton Valley,1
88,Hampton,1
89,Harcourt,1
90,Harpley,1
91,Hastings,1
92,Hawthorn,1
93,Healsville,2
94,Heathcote,1
95,Heidelberg,2
96,Hepburn Springs,1
97,Heyfield,1
98,Highton,1
99,Holbrook,2
100,Horsham,2
101,Inglewood,1
102,Invermay Park,1
103,Jan Juc,1
104,Jerilderie,1
105,Jindabyne,1
106,Keilor Downs,1
107,Kerang,1
108,Keysborough,1
109,Kilmore,1
110,Kilsyth South,1
111,Korumburra,2
112,Kyneton ,1
113,Lakes Entrance,2
114,Lavington,1
115,Leongatha,2
116,Lilydale,1
117,Lorne,1
118,Lucas,1
119,Lynbrook,1
120,Macedon,1
121,Maffra,1
122,Malvern,1
123,Malvern East,1
124,Marong,1
125,Maryborough ,1
126,Meeniyan,1
127,Melbourne,4
128,Meredith,1
129,Mickleham,3
130,Moe,1
131,Moonee Ponds,1
132,Moordialloc,1
133,Mornington,1
134,Newbridge,1
135,Nhill,1
136,Oak Park,1
137,Oakleigh South,1
138,Ocean Grove,1
139,Omeo,1
140,Orbost,1
141,Ovens,1
142,Point Cook,1
143,Porepunkah,1
144,Port Melbourne,4
145,Portland,1
146,Queenscliff,1
147,Richmond,2
148,Ringwood,1
149,Rowville,1
150,Roxburgh Park,1
151,Rye,1
152,Sale,2
153,Sandown,1
154,Sandringham,1
155,Sea Lake,1
156,Sebastopol,1
157,Seymour,1
158,Shepparton ,1
159,South Melbourne,1
160,Southbank,1
161,St Arnaud,1
162,St Kilda,1
163,Stawell,2
164,Summerlands,1
165,Sunbury,1
166,Sunshine West,1
167,Swan Hill,1
168,Sydenham,1
169,Tarneit,2
170,Tatura,1
171,Taylor Lakes,1
172,Traralgon,2
173,Trentham,1
174,Wallan,1
175,Wangaratta,1
176,Warnambool,3
177,Warracknabeal,1
178,Warragul,1
179,Warrenheip ,1
180,Waurn Ponds,1
181,Wedderburn,1
182,Weir Views,1
183,Werribee,3
184,Whittlesea,1
185,Winchelsea,1
186,Wodonga,1
187,Woodend,1
188,Wycheproof,2
189,Yackandandah,1
190,Yarck,1
191,Yarra Glen,1
192,Yarra Junction,1
193,Yarram,1
194,Yarrawonga,2
195,Yea,1
196,diamond creek,1
